Longitude	Latitude	FID	solmutunnu	linjoja	lyhyt_nro	nimi_s	nimi_r	nousijat	nettiosoit	P_koord	I_koord
24.98364674	60.25485252	3001	1391216	0	H	Tapaninvainiontie	Staffansslättsvägen	0	http://aikataulut.hsl.fi/pysakit/fi/1391216.html	6683013	2554642
25.0840219	60.26433978	3002	1414149	2	H3517	Kalteentie	Sluttningsvägen	422	http://aikataulut.hsl.fi/pysakit/fi/1414149.html	6684157	2560182
25.11057111	60.22084643	3003	1451128	1	H4524	Itäväylä	Österleden	15	http://aikataulut.hsl.fi/pysakit/fi/1451128.html	6679336	2561733
25.00618769	60.23718937	3004	1383229	0	H	Vuolukiventie	Täljstensvägen	0	http://aikataulut.hsl.fi/pysakit/fi/1383229.html	6681064	2555920
25.07843443	60.2619977	3005	1414152	2	H3519	Huokotie	Drågvägen	1	http://aikataulut.hsl.fi/pysakit/fi/1414152.html	6683891	2559877
24.98392758	60.25397975	3006	1391217	0	H	Tapaninvainiontie	Staffansslättsvägen	0	http://aikataulut.hsl.fi/pysakit/fi/1391217.html	6682916	2554659
25.10402424	60.21502165	3007	1451139	2	H4516	Kuutsalontie	Kuutsalovägen	73	http://aikataulut.hsl.fi/pysakit/fi/1451139.html	6678681	2561381
25.00279906	60.24031172	3008	1383231	0	H	Rapakivenkuja	Örstensgränden	0	http://aikataulut.hsl.fi/pysakit/fi/1383231.html	6681409	2555727
24.99067759	60.26159501	3009	1391290	0	H	Laukkipäänpolku	Blässtigen	3	http://aikataulut.hsl.fi/pysakit/fi/1391290.html	6683770	2555020
25.07848274	60.26236533	3010	1414153	2	H3518	Huokotie	Drågvägen	99	http://aikataulut.hsl.fi/pysakit/fi/1414153.html	6683932	2559879
25.10467157	60.21496239	3011	1451174	2	H4517	Kuutsalontie	Kuutsalovägen	9	http://aikataulut.hsl.fi/pysakit/fi/1451174.html	6678675	2561417
25.01268529	60.23481518	3012	1383900	0	XH3301	Pihlajamäen kirkko	Rönnbacka kyrka	0	 	6680805	2556284
24.99031045	60.26140032	3013	1391291	0	H	Laukkipäänpolku	Blässtigen	0	http://aikataulut.hsl.fi/pysakit/fi/1391291.html	6683748	2555000
25.08432389	60.26418478	3014	1414154	1	H3516	Kalteentie	Sluttningsvägen	124	http://aikataulut.hsl.fi/pysakit/fi/1414154.html	6684140	2560199
25.10169699	60.21932262	3015	1451175	3	H4365	Karhulantie	Karhulavägen	24	http://aikataulut.hsl.fi/pysakit/fi/1451175.html	6679158	2561244
25.04043767	60.24419605	3016	1384147	2	H3397	Valuraudantie	Gjutjärnsvägen	7	http://aikataulut.hsl.fi/pysakit/fi/1384147.html	6681874	2557805
25.02640411	60.25733848	3017	1392100	1	H3801	Malminkaari	Malmbågen	0	http://aikataulut.hsl.fi/pysakit/fi/1392100.html	6683326	2557005
25.10143754	60.21911828	3018	1451176	0	H4366	Karhulantie	Karhulavägen	0	http://aikataulut.hsl.fi/pysakit/fi/1451176.html	6679135	2561230
25.08621888	60.2608481	3019	1414155	3	H3515	Kuussillantie	Sexbrovägen	10	http://aikataulut.hsl.fi/pysakit/fi/1414155.html	6683770	2560310
25.02888699	60.25875541	3020	1392101	1	H3803	Saniaiskuja	Ormbunksgränden	0	http://aikataulut.hsl.fi/pysakit/fi/1392101.html	6683486	2557140
25.03917351	60.24418799	3021	1384148	0	H	Valuraudantie	Gjutjärnsvägen	0	http://aikataulut.hsl.fi/pysakit/fi/1384148.html	6681872	2557735
25.08594764	60.26084134	3022	1414156	3	H3514	Kuussillantie	Sexbrovägen	77	http://aikataulut.hsl.fi/pysakit/fi/1414156.html	6683769	2560295
25.09944893	60.2200773	3023	1451177	3	H4367	Valkealantie	Valkealavägen	23	http://aikataulut.hsl.fi/pysakit/fi/1451177.html	6679240	2561118
25.04514579	60.24519129	3024	1384149	2	H3399	Malmin lentoasema	Malms flygstation	6	http://aikataulut.hsl.fi/pysakit/fi/1384149.html	6681989	2558064
25.02822364	60.25891308	3025	1392102	1	H3804	Saniaiskuja	Ormbunksgränden	3	http://aikataulut.hsl.fi/pysakit/fi/1392102.html	6683503	2557103
25.09947983	60.21992442	3026	1451178	3	H4368	Valkealantie	Valkealavägen	48	http://aikataulut.hsl.fi/pysakit/fi/1451178.html	6679223	2561120
25.0742785	60.26031691	3027	1414191	1	H3800	Jakomäen terveysas.	Jakobacka hälsost.	1	http://aikataulut.hsl.fi/pysakit/fi/1414191.html	6683700	2559650
25.05036599	60.24637983	3028	1384151	2	H3401	Kankiraudantie	Stångjärnsvägen	7	http://aikataulut.hsl.fi/pysakit/fi/1384151.html	6682126	2558351
25.07445908	60.26031545	3029	1414192	0	H3800	Jakomäen terveysas.	Jakobacka hälsost.	0	http://aikataulut.hsl.fi/pysakit/fi/1414192.html	6683700	2559660
